epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.29,2.57029,6.81307,1.91006,0,0,0,0,4.53189,7.66895,3.71193,0,0,0
2,2.91,1.93094,6.7685,1.64354,0,0,0,0,4.52263,8.17014,3.67086,1.63399e-05,1.63399e-05,1.63399e-05
3,3.357,2.18961,6.8664,1.80555,0,0,0,0,4.48542,8.52234,3.62691,3.20197e-05,3.20197e-05,3.20197e-05
4,3.766,2.56321,7.13041,1.99183,0,0,0,0,4.42211,8.71963,3.56882,4.70394e-05,4.70394e-05,4.70394e-05
5,4.058,2.40242,8.32612,1.80707,0,0,0,0,4.37482,8.57925,3.52469,6.13989e-05,6.13989e-05,6.13989e-05
6,4.33302,2.03524,6.9573,1.67781,0,0,0,0,4.38036,8.81659,3.49322,7.50984e-05,7.50984e-05,7.50984e-05
7,4.60083,2.15876,9.59902,1.85747,0,0,0,0,4.4136,8.73332,3.51843,8.81376e-05,8.81376e-05,8.81376e-05
8,4.86975,2.59932,12.7982,1.88405,0,0,0,0,4.42711,8.797,3.50184,0.000100517,0.000100517,0.000100517
9,5.17919,3.3977,10.0996,2.56936,0,0,0,0,3.28979,6.16443,2.86732,0.000112236,0.000112236,0.000112236
10,5.67131,2.56517,4.83101,2.0015,0.00744,1,0.04204,0.01258,2.42376,4.10935,2.35056,0.000123295,0.000123295,0.000123295
11,6.16746,2.55704,4.1121,1.87646,0.95897,1,0.995,0.46468,1.79249,3.87821,1.60916,0.000133693,0.000133693,0.000133693
12,6.75107,2.1915,2.79974,1.78843,0.72937,1,0.995,0.43425,1.50449,4.79547,1.39879,0.000143432,0.000143432,0.000143432
13,7.14952,1.87226,2.60838,1.61502,0.69931,1,0.995,0.3985,1.4401,5.38369,1.39916,0.00015251,0.00015251,0.00015251
14,7.5807,1.64301,3.00876,1.45711,0.56736,1,0.863,0.4928,1.32688,3.71028,1.45058,0.000160929,0.000160929,0.000160929
15,8.01286,1.47941,2.51927,1.3018,0.95275,1,0.995,0.65255,1.30733,3.71164,1.42803,0.000168687,0.000168687,0.000168687
16,8.46976,1.99783,2.3302,1.60967,0.97079,1,0.995,0.59722,1.49897,4.11054,1.58279,0.000175785,0.000175785,0.000175785
17,8.89435,1.56485,1.85423,1.31849,0.90412,1,0.995,0.56406,1.67231,5.68225,1.72171,0.000182223,0.000182223,0.000182223
18,9.27285,1.34834,1.97934,1.38138,0.90412,1,0.995,0.56406,1.67231,5.68225,1.72171,0.000188001,0.000188001,0.000188001
19,9.67162,1.42,1.52277,1.28129,0.96024,1,0.995,0.5419,1.66549,3.86444,1.68989,0.000193119,0.000193119,0.000193119
20,10.1555,1.28878,1.45898,1.14583,0.96024,1,0.995,0.5419,1.66549,3.86444,1.68989,0.000197576,0.000197576,0.000197576
21,10.5596,1.22466,1.68107,1.23266,0.9747,1,0.995,0.61382,1.31862,3.21225,1.33954,0.000201374,0.000201374,0.000201374
22,11.0028,1.33355,1.37917,1.12632,0.9747,1,0.995,0.61382,1.31862,3.21225,1.33954,0.000204511,0.000204511,0.000204511
23,11.4134,1.15675,1.41573,1.04215,0.96849,1,0.995,0.6965,1.01061,2.39609,1.21715,0.000206988,0.000206988,0.000206988
24,11.8445,1.47963,1.94342,1.21795,0.96849,1,0.995,0.6965,1.01061,2.39609,1.21715,0.000208805,0.000208805,0.000208805
25,12.2874,0.9913,1.23817,1.06566,0.97564,1,0.995,0.76374,1.06312,2.20144,1.2336,0.000209962,0.000209962,0.000209962
26,12.726,1.33217,1.35486,1.09119,0.97564,1,0.995,0.76374,1.06312,2.20144,1.2336,0.000210459,0.000210459,0.000210459
27,13.1732,1.13585,1.36909,1.01387,0.98171,1,0.995,0.73027,1.11916,1.82441,1.23605,0.000210295,0.000210295,0.000210295
28,13.5578,1.14916,1.21873,1.1285,0.98171,1,0.995,0.73027,1.11916,1.82441,1.23605,0.000209472,0.000209472,0.000209472
29,13.9667,1.52456,1.57372,1.25994,0.98469,1,0.995,0.67521,1.12495,1.48657,1.21896,0.000207988,0.000207988,0.000207988
30,14.3506,1.18053,1.31215,1.10934,0.98469,1,0.995,0.67521,1.12495,1.48657,1.21896,0.000205844,0.000205844,0.000205844
31,14.7536,0.89944,1.25599,1.01814,0.9853,1,0.995,0.67516,1.21129,1.345,1.24051,0.000203041,0.000203041,0.000203041
32,15.1798,1.16961,1.23688,1.09046,0.9853,1,0.995,0.67516,1.21129,1.345,1.24051,0.000199577,0.000199577,0.000199577
33,15.5993,1.41656,1.61648,1.14022,0.98324,1,0.995,0.76384,1.24923,1.35509,1.28441,0.000195452,0.000195452,0.000195452
34,16.0346,0.88885,1.00253,0.97083,0.98324,1,0.995,0.76384,1.24923,1.35509,1.28441,0.000190668,0.000190668,0.000190668
35,16.5853,1.17692,1.18089,1.11088,0.98135,1,0.995,0.76388,1.31214,1.65027,1.30183,0.000185224,0.000185224,0.000185224
36,17.0551,1.36306,1.13531,1.17788,0.98135,1,0.995,0.76388,1.31214,1.65027,1.30183,0.000179119,0.000179119,0.000179119
37,17.5308,1.04611,1.05507,0.99086,0.95912,1,0.995,0.79753,1.33407,1.7203,1.30654,0.000172354,0.000172354,0.000172354
38,17.9937,1.27897,1.10487,1.18471,0.95912,1,0.995,0.79753,1.33407,1.7203,1.30654,0.00016493,0.00016493,0.00016493
39,18.4838,0.98133,0.92127,0.96189,0.97421,1,0.995,0.79763,1.25981,1.45553,1.29254,0.000156845,0.000156845,0.000156845
40,18.9526,0.98099,0.94222,0.97709,0.97421,1,0.995,0.79763,1.25981,1.45553,1.29254,0.0001481,0.0001481,0.0001481
41,22.9615,1.14082,1.28479,1.1223,0.98569,1,0.995,0.64155,1.19473,1.25533,1.22732,0.000138694,0.000138694,0.000138694
42,23.4517,0.93523,1.10337,0.97008,0.98569,1,0.995,0.64155,1.19473,1.25533,1.22732,0.000128629,0.000128629,0.000128629
43,23.898,1.07272,1.08498,1.06541,0.98667,1,0.995,0.68654,1.22367,1.01202,1.19097,0.000117904,0.000117904,0.000117904
44,24.3517,0.91089,1.19754,0.95623,0.98667,1,0.995,0.68654,1.22367,1.01202,1.19097,0.000106518,0.000106518,0.000106518
45,24.767,1.10914,1.13248,1.00721,0.98704,1,0.995,0.73033,1.18953,0.87514,1.17495,9.44722e-05,9.44722e-05,9.44722e-05
46,25.1919,0.82974,1.01389,0.9807,0.98704,1,0.995,0.73033,1.18953,0.87514,1.17495,8.17663e-05,8.17663e-05,8.17663e-05
47,25.5981,0.82977,0.939,0.93833,0.98713,1,0.995,0.73033,1.16073,0.91887,1.15418,6.84003e-05,6.84003e-05,6.84003e-05
48,25.9864,0.93016,0.87393,0.9386,0.98713,1,0.995,0.73033,1.16073,0.91887,1.15418,5.43742e-05,5.43742e-05,5.43742e-05
49,26.4191,1.13041,1.02507,1.06164,0.98698,1,0.995,0.73035,1.17354,0.86125,1.14876,3.96879e-05,3.96879e-05,3.96879e-05
50,26.8927,0.88914,0.85922,0.91924,0.98698,1,0.995,0.73035,1.17354,0.86125,1.14876,2.43415e-05,2.43415e-05,2.43415e-05
